Lot,Vitrox ID,Recipe,Start Time,End Time,Yield,Total Inspected,Total Reject,Output Mode,Invalid 3D,Invalid Mark,Invalid uCrack,BX,BY
4997387.1,6VTRX08,SKY55446+REV12,2024/11/26 08:23:17,2024/11/26 11:58:48,99.799 %,,34,,11,0,0,0,0
4997387.1,6VTRX08,SKY55446+REV12,2024/11/26 08:23:17,2024/11/26 11:20:08,98.822 %,,199,,7,1,96,0,0
5013958.1,6VTRX08,SKY55446+REV13,2024/11/24 09:37:01,2024/11/24 14:25:08,88.885 %,,1728,,11,164,23,2,5
5013958.2,6VTRX08,SKY55446+REV13,2024/11/25 07:00:29,2024/11/25 09:43:34,98.610 %,,138,,19,0,11,0,0
5013958.2,6VTRX08,SKY55446+REV13,2024/11/25 07:00:29,2024/11/25 09:15:01,92.493 %,,740,,16,13,69,0,0
5013960.1,6VTRX08,SKY55446+REV12,2024/11/20 19:24:59,2024/11/21 00:25:00,99.785 %,,46,,6,1,0,0,0
5013960.1,6VTRX08,SKY55446+REV12,2024/11/20 19:24:59,2024/11/20 23:57:28,98.225 %,,381,,27,122,27,1,9
5013964.1,6VTRX08,SKY55446+REV12,2024/11/25 15:54:53,2024/11/25 23:31:40,99.786 %,,46,,6,2,0,0,0
5013964.1,6VTRX08,SKY55446+REV12,2024/11/25 15:54:53,2024/11/25 22:02:52,97.770 %,,491,,6,96,167,6,20
5013966.1,6VTRX08,SKY55446+REV12,2024/11/23 10:06:32,2024/11/23 17:05:22,99.290 %,,152,,12,8,11,0,0
5013966.1,6VTRX08,SKY55446+REV12,2024/11/23 10:06:32,2024/11/23 16:15:20,97.892 %,,449,,14,46,68,2,2
5013967.1,6VTRX08,SKY55446+REV12,2024/11/26 06:27:15,2024/11/26 07:22:34,89.808 %,,159,,11,10,34,0,0
5013969.1,6VTRX08,SKY55446+REV12,2024/11/21 01:09:24,2024/11/21 07:23:39,99.631 %,,79,,24,0,1,1,0
5013969.1,6VTRX08,SKY55446+REV12,2024/11/21 01:09:24,2024/11/21 05:50:36,97.099 %,,628,,13,115,137,2,1
5013971.1,6VTRX08,SKY55446+REV13,2024/11/25 09:47:49,2024/11/25 14:09:27,99.462 %,,116,,31,1,33,0,0
5013971.1,6VTRX08,SKY55446+REV13,2024/11/25 09:47:49,2024/11/25 13:36:47,96.564 %,,737,,8,28,525,0,0
5015321.1,6VTRX08,SKY55446+REV12,2024/11/23 17:30:09,2024/11/24 01:01:11,99.402 %,,128,,25,0,0,0,0
5015321.1,6VTRX08,SKY55446+REV12,2024/11/23 17:30:09,2024/11/24 00:05:43,93.987 %,,1298,,54,49,817,0,0
HANDLING,6VTRX08,SKY55446+REV13_TESTING,2024/11/27 10:38:14,2024/11/27 11:23:57,87.500 %,,10,,10,,10,,
NR,6VTRX08,SKY55446+REV12_TEST,2024/11/20 09:30:33,2024/11/20 09:36:05,0.000 %,,80,,80,0,0,0,0
NRT,6VTRX08,SKY55446+REV12_TEST,2024/11/20 09:49:31,2024/11/20 09:55:06,84.375 %,,5,,5,0,0,0,0
ROLLO 1,6VTRX08,SKY55446+REV13,2024/11/27 15:09:16,2024/11/27 15:16:33,100.000 %,,0,,0,0,0,0,0
TEST 1.8X1.6 2,6VTRX08,SKY55476-12 STR,2024/11/21 07:48:14,2024/11/21 15:22:14,95.692 %,,108,,102,,,,
TEST 1.8X1.6 2,6VTRX08,SKY55476-12 STR,2024/11/21 07:48:14,2024/11/21 11:09:55,88.260 %,,249,,242,,,,
TEST 1.8X1.6,6VTRX08,SKY55446+REV12,2024/11/20 16:40:43,2024/11/20 17:34:17,0.000 %,,92,,92,0,0,0,0
TEST ROLLO 1,6VTRX08,SKY55446+REV13,2024/11/27 15:19:55,2024/11/27 16:33:17,96.472 %,,61,,52,0,5,0,0
TEST ROLLO 1,6VTRX08,SKY55446+REV13,2024/11/27 15:19:55,2024/11/27 17:06:52,94.657 %,,95,,20,7,13,0,0
TEST ROLLO 1,6VTRX08,SKY55446+REV13,2024/11/27 15:19:55,2024/11/27 17:13:54,100.000 %,,0,,0,0,0,0,0
TEST ROLLO 1,6VTRX08,SKY55446+REV13,2024/11/27 15:19:55,2024/11/27 16:26:29,92.660 %,,130,,48,0,12,0,0
