Lot,Vitrox ID,Recipe,Start Time,End Time,Yield,Total Inspected,Total Reject
,6VTRX07,SKY55446+REV3,2024/10/12 15:31:32,2024/10/12 20:22:17,92.813%,15208,1093
4958151.1,,SKY55446+REV,2024/10/04 11:56:15,2024/10/05 09:35:21,,,
4958151.1,,SKY55446+REV,2024/10/04 11:56:15,2024/10/05 09:35:21,,,
,6VTRX07,SKY55446+REV2,2024/10/04 11:56:15,2024/10/05 09:35:21,93.750%,16,1
4958151.1,,SKY55446+REV,2024/10/04 11:56:15,2024/10/04 14:50:09,,,
4958151.1,,SKY55446+REV,2024/10/04 11:56:15,2024/10/04 14:50:09,,,
4958151.1-DETAPE,,SKY55446+REV,2024/10/04 15:10:40,2024/10/04 16:34:22,,,
4958151.1-DETAPE,,SKY55446+REV,2024/10/04 15:10:40,2024/10/04 16:34:22,,,
4958151.1-DETAPE,6VTRX07,SKY55446+REV2,2024/10/04 15:10:40,2024/10/04 16:34:22,100.000%,2777,0
281,6VTRX07,SKY55446+REV2,2024/10/04 11:56:15,2024/10/04 14:50:09,80.637%,6590,1276
4958151.2,,SKY55446+REV,2024/10/04 23:35:18,2024/10/05 02:06:04,,,
4958151.2,,SKY55446+REV,2024/10/04 23:35:18,2024/10/05 02:06:04,,,
,6VTRX07,SKY55446+REV2,2024/10/04 23:35:18,2024/10/05 02:06:04,79.618%,1310,267
4958151.2,,SKY55446+REV,2024/10/04 23:35:18,2024/10/05 00:30:35,,,
4958151.2,,SKY55446+REV,2024/10/04 23:35:18,2024/10/05 00:30:35,,,
3,6VTRX07,SKY55446+REV2,2024/10/04 23:35:18,2024/10/05 00:30:35,94.956%,1368,69
4958152.1,,SKY55446+REV,2024/10/18 19:30:09,2024/10/18 20:28:40,,,
4958152.1,,SKY55446+REV,2024/10/18 19:30:09,2024/10/18 20:28:40,,,
,6VTRX07,SKY55446+REV3,2024/10/18 19:30:09,2024/10/18 20:28:40,95.956%,2374,96
4958152.3,,SKY55446+REV,2024/10/18 21:38:18,2024/10/19 08:28:24,,,
4958152.3,,SKY55446+REV,2024/10/18 21:38:18,2024/10/19 08:28:24,,,
,6VTRX07,SKY55446+REV3,2024/10/18 21:38:18,2024/10/19 08:28:24,98.771%,21398,263
4958152.3,,SKY55446+REV,2024/10/18 21:38:18,2024/10/19 07:43:57,,,
4958152.3,,SKY55446+REV,2024/10/18 21:38:18,2024/10/19 07:43:57,,,
871,6VTRX07,SKY55446+REV3,2024/10/18 21:38:18,2024/10/19 07:43:57,94.845%,21338,1100
4958154.1 DETAPE,,SKY55446+REV,2024/10/03 02:04:29,2024/10/03 02:33:41,,,
4958154.1 DETAPE,6VTRX07,SKY55446+REV1,2024/10/03 02:04:29,2024/10/03 02:33:41,100.000%,1178,0
4958154.1DEP,,SKY55446+REV,2024/10/02 15:27:56,2024/10/02 17:36:54,,,
4958154.1DEP,6VTRX07,SKY55446+REV1,2024/10/02 15:27:56,2024/10/02 17:36:54,100.000%,11501,0
4958154.1DEP5,,SKY55446+REV,2024/10/02 17:58:52,2024/10/02 20:22:32,,,
