Lot,Vitrox ID,Recipe,Start Time,End Time,Yield,Total Inspected,Total Reject
903,6VTRX07,SKY55446+REV3,D                START TIME    END TIME       TOTAL      REMARK,D                START TIME    END TIME       TOTAL      REMARK,95.76%,21453,909
4958149.1,,SKY55446+REV,10/12/2024 15:31,10/13/2024 2:03,,,
4958149.1,,SKY55446+REV,10/12/2024 15:31,10/13/2024 2:03,,,
925,6VTRX07,SKY55446+REV3,D                START TIME    END TIME       TOTAL      REMARK,D                START TIME    END TIME       TOTAL      REMARK,99.83%,20792,35
,6VTRX07,SKY55446+REV3,D                START TIME    END TIME       TOTAL      REMARK,D                START TIME    END TIME       TOTAL      REMARK,100.00%,20757,0
4958149.1,,SKY55446+REV,10/12/2024 15:31,10/12/2024 20:22,,,
4958149.1,,SKY55446+REV,10/12/2024 15:31,10/12/2024 20:22,,,
,6VTRX07,SKY55446+REV3,D                START TIME    END TIME       TOTAL      REMARK,D                START TIME    END TIME       TOTAL      REMARK,92.81%,15208,1093
4958151.1,,SKY55446+REV,10/4/2024 11:56,10/5/2024 9:35,,,
4958151.1,,SKY55446+REV,10/4/2024 11:56,10/5/2024 9:35,,,
,6VTRX07,SKY55446+REV2,D                START TIME    END TIME       TOTAL,D                START TIME    END TIME       TOTAL,93.75%,16,1
4958151.1,,SKY55446+REV,10/4/2024 11:56,10/4/2024 14:50,,,
4958151.1,,SKY55446+REV,10/4/2024 11:56,10/4/2024 14:50,,,
4958151.1-DETAPE,,SKY55446+REV,10/4/2024 15:10,10/4/2024 16:34,,,
4958151.1-DETAPE,,SKY55446+REV,10/4/2024 15:10,10/4/2024 16:34,,,
4958151.1-DETAPE,6VTRX07,SKY55446+REV2,D                START TIME    END TIME       TOTAL      REMARK,D                START TIME    END TIME       TOTAL      REMARK,100.00%,2777,0
281,6VTRX07,SKY55446+REV2,D                START TIME    END TIME       TOTAL,D                START TIME    END TIME       TOTAL,80.64%,6590,1276
4958151.2,,SKY55446+REV,10/4/2024 23:35,10/5/2024 2:06,,,
