File Name,Lot,Equip ID,Yield
4298496.1-1.txt,LOT       : 4298496.1                                START TIME : 2023/04/02 20:10:02,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 7920            Total Yield :  99.949%
4298496.1.txt,LOT       : 4298496.1                                START TIME : 2023/04/02 20:10:02,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 7920            Total Yield :  99.773%
4298497.1-1.txt,LOT       : 4298497.1                                START TIME : 2023/03/26 21:27:42,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 10410           Total Yield :  99.990%
4298497.1.txt,LOT       : 4298497.1                                START TIME : 2023/03/26 21:27:42,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 10408           Total Yield :  99.779%
4298498.1-1.txt,LOT       : 4298498.1                                START TIME : 2023/03/26 23:54:24,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 10452           Total Yield :  99.933%
4298498.1.txt,LOT       : 4298498.1                                START TIME : 2023/03/26 23:54:24,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 10454           Total Yield :  99.751%
4298499.1-1.txt,LOT       : 4298499.1                                START TIME : 2023/04/02 18:27:07,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 10591           Total Yield :  99.254%
4298499.1.txt,LOT       : 4298499.1                                START TIME : 2023/04/02 18:27:07,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 10590           Total Yield :  99.254%
4298500.1-1.txt,LOT       : 4298500.1                                START TIME : 2023/04/03 06:17:56,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 9834            Total Yield :  99.847%
4298500.1.txt,LOT       : 4298500.1                                START TIME : 2023/04/03 06:17:56,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 9834            Total Yield :  99.675%
4298501.1-1.txt,LOT       : 4298501.1                                START TIME : 2023/04/02 21:23:05,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 10628           Total Yield :  99.915%
4298501.1.txt,LOT       : 4298501.1                                START TIME : 2023/04/02 21:23:05,MACHINE   : 6VTRX01 | TH3000i-030,TOTAL INSPECTED : 10628           Total Yield :  99.520%
