Lot,Vitrox ID,Recipe,Start Time,End Time,Yield,Total Inspected,Total Reject
4736887.1,6VTRX02,SKYA21055+REV6,2024/03/23 08:08:40,2024/03/23 08:49:13,99.243%,7789,
4736888.1,6VTRX02,SKYA21055+REV6,2024/03/22 07:45:56,2024/03/22 08:25:35,99.538%,8006,
4736889.1,6VTRX02,SKYA21055+REV6,2024/03/21 17:47:47,2024/03/21 18:26:48,99.600%,7996,
4736889.,6VTRX02,SKYA21055+REV6,2024/03/21 18:28:51,2024/03/21 18:34:37,84.375%,32,
4736940.1,6VTRX02,SKY58253+REV5,2024/03/18 08:30:33,2024/03/18 10:56:44,97.942%,8601,
4736981.1,6VTRX02,SKY58253+REV5,2024/03/28 13:14:48,2024/03/28 14:17:26,96.937%,8553,
4737878.1,6VTRX02,SKY58253+REV5,2024/03/19 03:16:49,2024/03/19 04:31:09,97.870%,8686,
4737880.1,6VTRX02,SKY58253+REV5,2024/03/28 11:09:10,2024/03/28 12:53:36,95.312%,8682,
4737880.,6VTRX02,SKY58253+REV5,2024/03/28 12:57:57,2024/03/28 13:11:17,60.442%,407,
4737881.1,6VTRX02,SKY58253+REV5,2024/03/18 20:22:38,2024/03/18 22:13:29,98.459%,8631,
4738401.1,6VTRX02,SKY58253+REV5,2024/03/28 07:39:01,2024/03/28 08:56:05,96.539%,8553,
4738401.,6VTRX02,SKY58253+REV5,2024/03/28 08:58:49,2024/03/28 09:16:18,64.865%,296,
4738402.1,6VTRX02,SKY58253+REV5,2024/03/19 07:17:11,2024/03/19 09:04:35,98.148%,8693,
4738403.1,6VTRX02,SKY58253+REV5,2024/03/24 03:02:59,2024/03/24 04:08:49,97.307%,8616,
4738404.1,6VTRX02,SKY58253+REV5,2024/03/28 09:21:19,2024/03/28 10:46:58,96.090%,8568,
4738404.2,6VTRX02,SKY58253+REV5,2024/03/28 10:51:10,2024/03/28 11:06:38,85.204%,588,
4738521.1,6VTRX02,SKYA21055+REV6,2024/03/21 22:23:50,2024/03/21 23:20:44,98.364%,8070,
4738521.,6VTRX02,SKYA21055+REV6,2024/03/21 23:24:07,2024/03/21 23:38:23,65.152%,132,
4738522.1,6VTRX02,SKYA21055+REV6,2024/03/22 12:41:20,2024/03/22 13:25:34,99.460%,8335,
4738522.,6VTRX02,SKYA21055+REV6,2024/03/22 13:27:07,2024/03/22 13:33:59,75.556%,45,
4738791.1,6VTRX02,SKY58083+REV6,2024/03/25 21:52:33,2024/03/26 00:03:53,97.161%,7961,
4738794.1,6VTRX02,SKY58253+REV5,2024/03/29 17:05:35,2024/03/29 18:41:21,97.570%,8643,
4738794.,6VTRX02,SKY58253+REV5,2024/03/29 18:44:17,2024/03/29 19:04:37,62.857%,210,
4739799.1,6VTRX02,SKY58253+REV5,2024/03/29 11:59:49,2024/03/29 13:16:24,98.089%,8740,
4739803.1,6VTRX02,SKY58253+REV5,2024/03/27 20:40:02,2024/03/27 22:26:42,95.734%,8602,
4739803.,6VTRX02,SKY58253+REV5,2024/03/27 22:30:56,2024/03/27 22:41:33,74.387%,367,
4739904.1,6VTRX02,SKYA21055+REV6,2024/03/22 18:37:49,2024/03/22 19:17:56,97.273%,7333,
4739904.,6VTRX02,SKYA21055+REV6,2024/03/22 19:20:21,2024/03/22 19:29:03,85.500%,200,
4739905.1,6VTRX02,SKYA21055+REV6,2024/03/21 14:44:59,2024/03/21 15:39:39,95.852%,7304,
4739905.,6VTRX02,SKYA21055+REV6,2024/03/21 16:04:44,2024/03/21 16:27:43,87.330%,663,
4739905.3,6VTRX02,SKYA21055+REV6,2024/03/21 16:31:59,2024/03/21 16:46:10,75.962%,104,
4739906.1,6VTRX02,SKYA21055+REV6,2024/03/23 00:54:38,2024/03/23 02:05:08,99.684%,8232,
4739907.1,6VTRX02,SKYA21055+REV6,2024/03/23 17:03:00,2024/03/23 17:57:11,99.536%,8192,
4739908.1,6VTRX02,SKYA21055+REV6,2024/03/23 18:09:12,2024/03/23 18:54:54,98.797%,8393,
4739908.,6VTRX02,SKYA21055+REV6,2024/03/23 18:56:50,2024/03/23 19:19:28,90.099%,101,
4740327.1+PSKY58253-11,6VTRX02,SKY58253+REV5,2024/03/24 23:16:50,2024/03/25 00:20:23,97.381%,8668,
4740328.1,6VTRX02,SKY58253+REV5,2024/03/31 23:46:41,2024/04/01 00:36:37,97.781%,8696,
4740329.1,6VTRX02,SKY58253+REV5,2024/03/29 15:28:09,2024/03/29 16:38:44,98.120%,8671,
4740329.2,6VTRX02,SKY58253+REV5,2024/03/29 16:42:10,2024/03/29 17:03:19,74.539%,271,
4740330.1,6VTRX02,SKY58253+REV5,2024/03/24 00:30:52,2024/03/24 01:36:56,97.289%,6160,
4740330.2,6VTRX02,SKY58253+REV5,2024/03/24 01:45:16,2024/03/24 01:50:06,OTAL INSPECTED : 0             Total Yield :   0.000%,0,
4740330.3,6VTRX02,SKY58253+REV5,2024/03/24 02:04:04,2024/03/24 02:55:12,95.289%,4861,
